ac_number,constituency,winner_2026,winning_party_2026,winner_votes_2026,total_votes_polled_2026,total_electors_2026,turnout_2026,reserved,region,winner_2021,winning_party_2021,winner_votes_2021,total_votes_polled_2021,total_electors_2021,turnout_2021,turnout_delta,seat_flipped,winner_vote_share_2026,winner_vote_share_2021,margin_2021,margin_2026
225,Ambasamudram,DR.ESAKKI SUBAYA,AIADMK,65589,191195,227878,83.9,GEN,South,E.SUBAYA,AIADMK,85211,177681,246676,72.03,11.870000000000005,False,34.3,47.96,16915,10245
226,Palayamkottai,M.ABDUL WAHAB,DMK,79744,180620,257329,70.19,GEN,South,ABDUL WAHAB .M,DMK,89117,161091,278897,57.76,12.43,False,44.15,55.32,52141,13805
227,Nanguneri,REDDIARPATTI V. NARAYANAN,TVK,74952,209419,257177,81.43,GEN,South,RUBY R MANOHARAN,INC,75902,192522,280685,68.59,12.840000000000003,True,35.79,39.43,16486,16419
228,Radhapuram,DR.SATHISH CHRISTOPHER,TVK,69947,199931,247061,80.92,GEN,South,M.Appavu,DMK,82331,187310,275132,68.08,12.840000000000003,True,34.99,43.95,5925,12313
229,Kanniyakumari,THALAVAI SUNDARAM. N,AIADMK,75045,239150,288867,82.79,GEN,South,THALAVAI SUNDARAM N.,AIADMK,109745,224874,299074,75.19,7.6000000000000085,False,31.38,48.8,16213,214
230,Nagercoil,AUSTIN,DMK,69880,196280,258928,75.8,GEN,South,Gandhi M.R.,BJP,88804,184185,274657,67.06,8.739999999999995,True,35.6,48.21,11669,7570
231,Colachal,THARAHAI CUTHBERT,INC,66207,199013,265015,75.09,GEN,South,Prince J.G.,INC,90681,182969,271992,67.27,7.820000000000007,False,33.27,49.56,24832,2833
232,Padmanabhapuram,CHELLASWAMY. R,CPI(M),68938,180555,235511,76.67,GEN,South,"Mano Thangaraj, T.",DMK,87744,170156,242803,70.08,6.590000000000003,True,38.18,51.57,26885,15569
233,Vilavancode,PRAVEEN T.T,INC,70755,174927,226658,77.18,GEN,South,VIJAYADHARANI S,INC,87473,167836,251139,66.83,10.350000000000009,False,40.45,52.12,28669,20970
234,Killiyoor,RAJESH KUMAR. S,INC,66434,177534,245359,72.36,GEN,South,RAJESH KUMAR  S,INC,101541,169918,257960,65.87,6.489999999999995,False,37.42,59.76,55400,1311
