ac_number,constituency,winner_2026,winning_party_2026,winner_votes_2026,total_votes_polled_2026,total_electors_2026,turnout_2026,reserved,region,winner_2021,winning_party_2021,winner_votes_2021,total_votes_polled_2021,total_electors_2021,turnout_2021,turnout_delta,seat_flipped,winner_vote_share_2026,winner_vote_share_2021,margin_2021,margin_2026
151,Tittakudi,GANESAN C.V,DMK,63106,175754,208984,84.1,SC,Central,"GANESAN,  C.V.",DMK,83726,168184,220425,76.3,7.799999999999997,False,35.91,49.78,21563,2629
152,Vriddhachalam,PREMALLATHA VIJAYAKANT,DMDK,69351,209186,240783,86.88,GEN,Central,Radhakrishnan,INC,77064,196734,255432,77.02,9.86,True,33.15,39.17,862,2387
153,Neyveli,RAJENDRAN.R,AIADMK,63731,168780,191271,88.24,GEN,Central,SABA.RAJENDRAN,DMK,75177,164130,221051,74.25,13.989999999999995,True,37.76,45.8,977,10962
154,Panruti,MOHAN. K,AIADMK,78398,210767,241767,87.18,GEN,Central,VELMURUGAN.T,DMK,93801,197049,247549,79.6,7.5800000000000125,True,37.2,47.6,4697,10663
155,Cuddalore,B.RAJKUMAR,TVK,70856,190378,223149,85.31,GEN,Central,G.IYAPPAN,DMK,84563,182001,243414,74.77,10.540000000000006,True,37.22,46.46,5151,15519
156,Kurinjipadi,M.R.K.PANNEERSELVAM,DMK,76695,213965,238189,89.83,GEN,Central,M.R.K.PANNEERSELVAM,DMK,101456,198781,242239,82.06,7.769999999999996,False,35.84,51.04,17527,7589
157,Bhuvanagiri,ARUNMOZHITHEVAN . A,AIADMK,75707,207310,233259,88.88,GEN,Central,Arunmozhithevan. A,AIADMK,96453,197165,250942,78.57,10.310000000000002,False,36.52,48.92,8259,2487
158,Chidambaram,THAMIMUN ANSARI. M,DMK,69739,196586,231236,85.02,GEN,Central,K.A. PANDIAN,AIADMK,91961,183352,254903,71.93,13.08999999999999,True,35.48,50.16,16937,5747
159,Kattumannarkoil,L.E. JOTHIMANI,VCK,85179,187905,226333,83.02,SC,Central,SINTHANAI SELVAN,VCK,86056,175561,231397,75.87,7.1499999999999915,False,45.33,49.02,10565,33063
160,Sirkazhi,SENTHILSELVAN.R,DMK,71449,200448,241319,83.06,SC,Delta,PANNEERSELVAM,DMK,94057,191325,255406,74.91,8.150000000000006,False,35.64,49.16,12148,11417
161,Mayiladuthurai,JAMAL MOHAMED YOUNOOS. Y.N,INC,68011,188461,234554,80.35,GEN,Delta,Rajakumar.S,INC,73642,174640,248988,70.14,10.209999999999994,False,36.09,42.17,2742,10845
162,Poompuhar,NIVEDHA M MURUGAN,DMK,81096,219324,259262,84.6,GEN,Delta,Nivedha M. Murugan,DMK,96102,207838,276417,75.19,9.409999999999997,False,36.98,46.24,3299,8260
163,Nagapattinam,M.H.JAWAHIRULLAH,DMK,56305,151326,174683,86.63,GEN,Delta,J. Mohamed Shanavas,VCK,66281,143560,199472,71.97,14.659999999999997,True,37.21,46.17,7238,9781
